ID X Y Arenoso Desgrasante_Gris Desgrasante_Tiesto Funza_Cuarzo_Abundante Funza_Cuarzo_Fino Guatavita_Desgrasante_Tiesto Tipo_Indeterminado Laminar_Duro Montalvo_Negro_sobre_Rojo Mosquera_Roca_Triturada Mosquera_Rojo_Inciso NA Pubenza_Policromo Pubenza_Rojo_Bañado Raquira Roca_Triturada Suta_Arenoso Tunjuelo_Laminar Valle_De_Tenza_Gris Vidriado Zipaquira_Desgrasante_Tiesto Zipaquira_Rojo_Sobre_Crema Total_Ceramica Copa Cuenco Figurina Forma_Indeterminada Jarra Mucura Ofrendatario Olla Olla_cuenco Paila Pesa_de_red Plato Volante_de_Huso Colonia Colonial_total_ponderado Herrera Herrera_ponderado Herrera_Foraneo Herrera_Foraneo_ponderado Herrera_total_ponderado Periodo_Indeterminado Tardio Tardio_ponderado Tardio_Foraneo Tardio_Foraneo_ponderado Tardio_total_ponderado Temprano Temprano_ponderado Temprano_Foraneo Temprano_Foraneo_ponderado Temprano_total_ponderado Vidriado4 Copa_Herrera Copa_Herrera_Foraneo Copa_NA Copa_Tardio Copa_Tardio_Foraneo Copa_Temprano Cuenco_Colonia Cuenco_Herrera Cuenco_Herrera_Foraneo Cuenco_Indeterminado Cuenco_NA Cuenco_Tardio Cuenco_Tardio_Foraneo Cuenco_Temprano Cuenco_Temprano_Foraneo Cuenco_Vidriado Figurina_Herrera Figurina_Tardio Figurina_Temprano Indeterminado_Colonia Indeterminado_Herrera Indeterminado_Tardio Indeterminado_Tardio_Foraneo Indeterminado_Temprano Indeterminado_Temprano_Foraneo Jarra_Herrera Jarra_Tardio Jarra_Tardio_Foraneo Jarra_Temprano Mucura_Herrera Mucura_Tardio Mucura_Temprano Ofrendatario_Herrera Olla_Colonia Olla_cuenco_Temprano Olla_Herrera Olla_Herrera_Foraneo Olla_Indeterminado Olla_NA Olla_Tardio Olla_Tardio_Foraneo Olla_Temprano Olla_Temprano_Foraneo Olla_Vidriado Paila_Temprano Pesa_de_red_Temprano Plato_Herrera Plato_Tardio Plato_Temprano Plato_Temprano_Foraneo Plato_Vidriado Volante_de_Huso_Herrera Volante_de_Huso_Tardio Decorado No_decorado Colonia_Decorado Colonia_No_decorado Herrera_Decorado Herrera_Foraneo_Decorado Herrera_Foraneo_No_decorado Herrera_No_decorado Indeterminado_Decorado Indeterminado_No_decorado Tardio_Decorado Tardio_Foraneo_Decorado Tardio_Foraneo_No_decorado Tardio_No_decorado Temprano_Decorado Temprano_Foraneo_Decorado Temprano_Foraneo_No_decorado Temprano_No_decorado Vidriado_Decorado Vidriado_No_decorado
46.E9 977126.8961 997474.8902 0 8 0 10 0 0 0 0 0 17 2 0 0 0 0 0 0 0 0 0 3 1 41 0 20 0 1 1 0 0 19 0 0 0 0 0 0 0 23 0.038333333 0 0 0.038333333 0 8 0.013333333 0 0 0.013333333 10 0.0125 0 0 0.0125 0 0 0 0 0 0 0 0 17 0 0 0 1 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 5 0 0 0 7 0 7 0 0 0 0 0 0 0 0 0 0 0 6 35 0 0 5 0 0 18 0 0 0 0 0 8 1 0 0 9 0 0
61.J2 977113.7314 997420.0781 0 5 0 9 0 2 0 0 0 18 1 0 0 0 0 0 0 0 0 0 0 6 41 0 22 0 0 0 0 0 19 0 0 0 0 0 0 0 25 0.041666667 0 0 0.041666667 0 7 0.011666667 0 0 0.011666667 9 0.01125 0 0 0.01125 0 0 0 0 0 0 0 0 16 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 7 0 3 0 0 0 0 0 0 0 0 0 0 0 2 39 0 0 2 0 0 23 0 0 0 0 0 7 0 0 0 9 0 0
16.F10 977212.6726 997452.958 0 0 0 6 0 2 0 0 0 28 4 0 0 0 0 0 0 0 0 0 0 0 40 0 16 0 0 2 0 0 22 0 0 0 0 0 0 0 32 0.053333333 0 0 0.053333333 0 2 0.003333333 0 0 0.003333333 6 0.0075 0 0 0.0075 0 0 0 0 0 0 0 0 14 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 18 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 21 19 0 0 19 0 0 13 0 0 0 0 0 2 2 0 0 4 0 0
11.A15 977170.7679 997402.1518 0 8 0 12 0 0 0 0 0 18 0 0 0 0 0 0 0 0 0 0 0 0 38 0 22 0 3 0 0 0 13 0 0 0 0 0 0 0 18 0.03 0 0 0.03 0 8 0.013333333 0 0 0.013333333 12 0.015 0 0 0.015 0 0 0 0 0 0 0 0 8 0 0 0 6 0 8 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 38 0 0 0 0 0 18 0 0 0 0 0 8 0 0 0 12 0 0
95.J2 977060.2999 997303.6814 0 0 0 8 0 0 0 0 0 22 6 0 0 0 0 0 0 0 0 0 0 2 38 0 28 0 0 0 0 0 10 0 0 0 0 0 0 0 30 0.05 0 0 0.05 0 0 0 0 0 0 8 0.01 0 0 0.01 0 0 0 0 0 0 0 0 24 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 17 21 0 0 17 0 0 13 0 0 0 0 0 0 0 0 0 8 0 0
16.A1 977227.8407 997467.1223 0 10 0 19 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 4 37 0 12 0 0 3 0 0 22 0 0 0 0 0 0 0 8 0.013333333 0 0 0.013333333 0 10 0.016666667 0 0 0.016666667 19 0.02375 0 0 0.02375 0 0 0 0 0 0 0 0 6 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 2 0 0 0 10 0 10 0 0 0 0 0 0 0 0 0 0 0 8 29 0 0 8 0 0 0 0 0 0 0 0 10 0 0 0 19 0 0
32.B10 977171.9315 997451.0779 0 1 0 7 0 0 0 0 0 19 8 0 0 0 0 0 0 0 0 0 0 2 37 0 30 0 0 0 0 0 7 0 0 0 0 0 0 0 29 0.048333333 0 0 0.048333333 0 1 0.001666667 0 0 0.001666667 7 0.00875 0 0 0.00875 0 0 0 0 0 0 0 0 25 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 26 11 0 0 22 0 0 7 0 0 0 0 0 1 4 0 0 3 0 0
14.I2 977215.2966 997490.6355 0 2 0 6 0 0 0 0 0 16 2 0 0 0 0 0 0 0 0 0 10 0 36 0 18 0 1 0 0 0 17 0 0 0 0 0 0 0 28 0.046666667 0 0 0.046666667 0 2 0.003333333 0 0 0.003333333 6 0.0075 0 0 0.0075 0 0 0 0 0 0 0 0 13 0 0 0 2 0 3 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 18 18 0 0 16 0 0 12 0 0 1 0 0 1 1 0 0 5 0 0
16.B1 977228.2901 997465.1107 0 2 0 16 0 0 0 0 0 10 2 0 0 0 0 0 0 0 0 0 6 0 36 0 21 0 0 0 0 0 15 0 0 0 0 0 0 0 18 0.03 0 0 0.03 0 2 0.003333333 0 0 0.003333333 16 0.02 0 0 0.02 0 0 0 0 0 0 0 0 12 0 0 0 2 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 6 30 0 0 5 0 0 13 0 0 0 0 0 2 1 0 0 15 0 0
46.A9 977124.9322 997482.6187 0 9 0 14 0 0 0 0 0 10 1 0 0 0 0 0 0 0 0 0 0 2 36 0 22 0 0 0 0 0 14 0 0 0 0 0 0 0 13 0.021666667 0 0 0.021666667 0 9 0.015 0 0 0.015 14 0.0175 0 0 0.0175 0 0 0 0 0 0 0 0 10 0 0 0 3 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 6 0 5 0 0 0 0 0 0 0 0 0 0 0 5 31 0 0 4 0 0 9 0 0 0 0 0 9 1 0 0 13 0 0
70.D1 977098.2408 997407.9207 0 4 0 0 0 0 0 0 0 30 2 0 0 0 0 0 0 0 0 0 0 0 36 0 32 0 0 0 0 0 4 0 0 0 0 0 0 0 32 0.053333333 0 0 0.053333333 0 4 0.006666667 0 0 0.006666667 0 0 0 0 0 0 0 0 0 0 0 0 0 30 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 6 30 0 0 6 0 0 26 0 0 0 0 0 4 0 0 0 0 0 0
