ID X Y
15.31.2.0.1. 977204.9238 997482.2299
15.61.1.0.1. 977219.9688 997468.533
15A.5.1.0.1. 977208.489 997484.1944
16.10.1.0.1. 977216.6646 997453.9266
16.13.3.0.1. 977223.3131 997451.5128
16.18.0.1.0. 977230.6937 997448.7959
16.28.4.0.1. 977216.6333 997464.8183
16.33.5.0.1. 977213.0893 997459.2374
16.5.2.0.1. 977219.3228 997457.205
17.1.0.1.0. 977232.1707 997446.5633
17.15.0.3.0. 977223.111 997430.4479
17.2.0.2.0. 977233.5602 997444.1791
18.13.1.0.1. 977203.8574 997470.8389
18.22.0.1.0. 977195.9142 997466.8173
18.23A.6.0.1. 977201.433 997467.1922
18.24.4.0.1. 977198.0719 997465.3644
18.28.9.0.1. 977194.0756 997462.4009
18.37.8.0.1. 977201.0934 997478.4817
18.5.3.0.1. 977205.4103 997476.0512
18.6.2.0.1. 977202.3871 997475.0522
18.8.7.0.1. 977202.7314 997472.5982
19.17.0.1.0. 977202.5967 997461.2285
19.19.1.0.1. 977199.491 997455.0811
19.22.6.0.1. 977199.5032 997453.2964
19.23.8.0.1. 977199.3575 997451.3395
19.26.0.2.0. 977192.083 997450.7031
19.27.4.0.1. 977197.5841 997453.503
19.29.7.0.1. 977204.7374 997456.6778
19.35.0.3.0. 977202.3003 997443.5468
19.36.5.0.1. 977205.8491 997442.4891
19.4.3.0.1. 977200.8091 997457.299
19.8.2.0.1. 977201.41 997451.4183
20A.1.1.0.1. 977050.6192 997434.0135
20A.1.1.0.2. 977050.2735 997433.7672
20A.4.2.0.1. 977050.3758 997430.6223
22.10.1.0.1. 977192.8253 997543.8188
22.9.0.1.0. 977200.4972 997545.3239
23.1.12.0.1. 977170.5071 997536.5039
23.25.37.38.38A.0.3.0. 977173.0274 997543.7642
23.29.10.0.1. 977173.3688 997537.2122
23.29A.17.0.1. 977173.8643 997536.0203
23.29A.17.0.2. 977174.8136 997537.5782
23.3.15.0.1. 977169.9532 997537.0173
23.30.32.7.0.1. 977175.1206 997538.7574
23.36.9.0.1. 977173.7338 997541.508
23.42.0.2.0. 977172.8524 997548.756
23.44.14.0.1. 977174.1595 997548.9979
23.50.0.5.0. 977175.4584 997544.2342
23.51A.13.0.1. 977175.6985 997540.2672
23.52.11.0.1. 977175.9322 997539.5811
23.56.74.4.0.1. 977179.948 997539.3162
23.59.3.0.1. 977179.3817 997540.0258
23.60.61.63.1.0.1. 977178.5932 997541.4284
23.70.5.0.1. 977180.3992 997544.3686
23.76.6.0.1. 977181.5144 997541.1644
23.77.2.0.1. 977182.711 997539.958
23.78.79.8.0.1. 977184.0259 997540.098
23.8.0.1.0. 977170.3426 997542.8369
23.85.16.0.1. 977187.7642 997544.8569
23.85.16.0.2. 977187.2192 997545.2844
23.95.96.0.4.0. 977186.0002 997552.1838
23.98A.0.6.0. 977171.4561 997537.7171
24.11.4.0.1. 977190.5122 997493.0115
24.18.2.0.1. 977186.6677 997491.7385
24.22.1.0.1. 977185.6842 997498.6832
24.23.24.25.3.0.1. 977185.5532 997498.0679
24.27.0.1.0. 977182.39 997494.8519
24.31.5.0.1. 977186.0324 997489.4215
25.1.1.0.1. 977203.6684 997434.6585
25.14.3.0.1. 977205.8675 997427.6288
25.15.0.4.0. 977215.6639 997426.5993
25.17.0.2.0. 977203.874 997428.8513
25.53.0.3.0. 977199.8811 997433.0095
25.8.0.1.0. 977213.8183 997424.3209
26.1.4.0.1. 977216.7209 997407.3583
26.1.4.0.2. 977217.019 997406.4195
26.10.0.1.0. 977211.0332 997417.7191
26.11.0.2.0. 977209.8417 997417.1828
26.13.0.3.0. 977203.8813 997416.8342
26.14.1.0.1. 977204.2243 997410.9381
26.15.0.4.0. 977218.2407 997412.9493
26.2.2.0.1. 977213.5239 997412.9542
26.20.10.0.1. 977206.8643 997418.0456
26.22.0.5.0. 977216.5556 997420.8521
26.24.6.0.1. 977207.0415 997409.7661
26.29.7.0.1. 977211.0776 997422.5618
26.3.5.0.1. 977214.6583 997418.0939
26.30.8.0.1. 977217.7596 997412.0287
26.4.3.0.1. 977210.3551 997414.6067
27.1.0.3.0. 977169.3694 997540.2464
27.12.0.4.0. 977166.3632 997539.0398
27.2.13.0.1. 977168.9643 997541.4998
27.20.11.0.1. 977161.515 997538.0989
27.21.6.0.1. 977160.8608 997542.39
27.25.7.0.1. 977162.1487 997548.5101
27.29.10.0.1. 977159.2115 997538.4855
27.39.0.2.0. 977152.0867 997546.0168
27.4.9.0.1. 977167.3161 997541.896
27.50.1.0.1. 977154.2279 997542.6401
27.57.3.0.1. 977148.9076 997545.2981
27.67.4.0.1. 977151.1521 997538.9039
27.68.2.0.1. 977149.874 997538.517
27.71.8.0.1. 977153.0099 997533.955
27.72.12.0.1. 977152.1793 997532.0354
27.73.0.1.0. 977149.9825 997540.8172
27.74.5.0.1. 977150.9072 997536.2473
27.8.0.5.0. 977169.1442 997536.6111
28.12.11.0.1. 977165.726 997532.0078
28.13.17.0.1. 977167.9411 997531.6569
28.14.15.23.0.1. 977170.5324 997531.5827
28.17.5.0.1. 977167.5471 997530.2041
