ID X Y
108.73.5.15 977002.4667 997309.6255
108.74.6.22 977001.2836 997316.5187
108.75.6.22 977002.982 997318.8606
108.76.6.22 976998.4125 997317.8445
108.78.3.9 976998.8352 997321.5067
108.79.3.11 976997.69 997321.7509
108.80.6.20 977004.3485 997327.4813
108.81.3.13 977000.1545 997327.7669
108.83.3.13 977012.61 997329.5998
108.86.3.13 977011.2741 997325.187
108.87.6.20 977009.1775 997324.496
109.1.5.14 977019.5486 997312.8601
109.19.3.9.2 977005.2639 997307.6951
109.20.3.9 977004.42 997307.6031
109.21.3.10.1 977002.9589 997307.7291
109.33.3.9 977017.2438 997306.6768
109.43.3.11 977008.9932 997295.7318
109.51.3.8 977019.2258 997297.6965
109.55.6.22 977021.8637 997293.6495
11.218.5.16 977146.274 997397.8918
11.331.5.14 977143.2338 997384.0471
11.338.6.20 977143.5779 997383.3123
11.36.6.24 977165.1011 997400.1416
11.38.5.15 977168.5229 997400.0333
11.380.3.12.2 977156.1215 997413.7554
11.413.5.19 977166.418 997416.8717
11.417.3.12 977169.9197 997417.5032
11.421.3.8 977169.2352 997421.61
11.429.6.23 977148.0479 997419.6141
11.430.5.18 977162.0598 997417.2018
11.434.6.21 977165.9556 997418.9044
11.435.5.18 977157.7045 997422.146
11.610.5.18 977154.4652 997414.5658
11.77.3.8.3 977169.2479 997382.9308
110.2.6.22 977019.3997 997291.8607
110.3.6.22 977016.7485 997288.553
111.3.5.16 976968.0867 997384.4442
111.4.5.16 976965.3172 997397.9415
111.5.5.15 976966.4864 997400.2239
111.7.5.16 976969.2303 997400.7343
111A.12.5.19 976962.1557 997388.877
111A.2.5.15 976972.0087 997406.0643
112.14.3.11 976980.2664 997371.7533
112.19.5.16 976972.3066 997365.3786
112.22.6.22 976982.3016 997369.1598
112.26.3.11 976977.1126 997377.0881
112.27.3.11 976981.668 997382.7764
112.8.5.18 976975.2471 997373.1056
112A.31.5.16 976966.5339 997372.4447
113.11.6.24 976975.9014 997357.0319
113.14.5.19 976980.4222 997359.9286
113.15.6.24 976984.3695 997361.1696
113.16.3.13 976977.775 997362.7559
113.6.6.21 976981.0894 997350.1766
113.8.6.21 976979.8188 997357.0704
113A.20.3.12 976973.3943 997345.2192
114.1.5.16 976981.1011 997336.3282
114.2.3.13 976983.7435 997334.3286
114.3.6.21 976981.5225 997332.4781
114.6.3.9 976987.1694 997327.4289
114.8.5.15 976984.6488 997328.0365
115.1.6.21 976983.7911 997322.7732
115.10.6.21 976990.4093 997321.882
115.11.6.24 976992.0437 997320.1998
115.13.3.8 976996.1783 997319.7249
115.16.3.11 976997.6369 997317.0482
115.19.3.9 976990.6755 997315.8072
115.21.3.8 976997.2574 997312.8086
115.23.3.8 976990.5906 997310.2307
115.3.6.21 976989.3132 997324.9463
115.38.5.14 976985.6129 997305.1642
115.4.3.11 976990.5748 997326.1721
115.5.5.16 976995.7748 997323.7203
115.6.6.21 976984.2932 997322.0567
115.9.6.21 976989.3903 997321.1675
116.1.3.11 976999.4812 997307.592
116.12.3.11 976989.7469 997304.8643
116.2.3.12 976997.9001 997306.7032
116.22A.3.12 976992.5203 997300.703
116.26.5.15 976987.928 997295.8578
116.2A.3.12 976997.269 997306.0161
116.31.3.9 976995.8194 997298.2071
116.39.5.19 976993.3279 997294.6318
116.41.5.16 976992.041 997293.3146
116.49.5.15 976990.5693 997286.886
116.51.3.12 976997.0721 997289.9828
117.1.3.12 976993.5929 997285.0572
117.16.5.19 976991.9904 997280.6316
117.4.3.13 976991.5242 997284.3233
117.5.3.12 976992.9008 997285.2929
117.9.3.12 976996.4032 997284.4243
11A.1.3.9 977153.6198 997425.9157
11A.10.3.9 977149.5743 997422.6248
11A.15.3.8 977145.4278 997421.9484
11A.18.3.8 977138.9361 997422.0372
11A.2.3.8.2 977154.9214 997426.5516
11A.22.6.24 977156.5434 997424.6094
11A.25.6.21 977148.793 997426.6373
11A.26.5.15 977150.9747 997426.3999
11A.3B.3.12 977153.6765 997424.3129
11.A.3C.3.12 977154.1878 997425.1511
11A.4.5.15 977151.1456 997422.6925
11A.7.3.9 977152.5874 997423.1064
11A.9.3.9 977150.2023 997423.92
12.26.5.15 977131.4645 997461.321
12.3.3.8 977139.0711 997462.6228
12.4.5.19 977136.1612 997452.9722
12A.1.6.22 977141.8167 997466.1506
12A.10.6.24 977146.6502 997450.8937
12A.13.6.22 977141.5716 997455.4639
12A.14.3.8 977142.4419 997448.269
12A.17.6.24 977142.6955 997449.399
12A.19.5.19 977138.5364 997450.3191
12A.2.3.9 977142.4102 997460.094
12A.7.6.22 977145.102 997448.0647
12A.8.3.8 977143.8019 997462.9249
12A.9.6.21 977144.6998 997461.9318
14.1.3.12 977211.5367 997498.1644
14.1.6.22 977216.2754 997501.1742
14.10.5.14 977201.346 997494.8216
14.11.5.19 977201.6411 997493.9502
14.12.5.15 977197.6044 997496.8141
14.13.5.14 977203.2393 997487.9402
14.14.5.19 977194.8067 997497.7731
14.18.6.21 977203.6762 997492.2023
14.19.6.21 977204.2591 997491.7937
14.21.3.8 977208.2327 997499.4073
14.23.3.12 977203.3053 997489.9375
14.24.5.19 977200.5005 997489.9766
14.26.5.15 977208.7204 997487.8288
14.27.5.16 977207.4129 997488.7649
14.28.5.14 977217.1776 997493.9744
14.29.6.21 977214.7087 997492.9268
14.30.5.15 977215.6054 997488.4312
14.31.3.8 977209.4336 997490.9333
14.32.5.15 977204.3407 997487.3581
14.33.3.12 977207.1197 997489.6147
14.34.3.8 977209.66 997489.5962
14.35.3.8 977212.8196 997488.2531
14.36.3.8 977214.9629 997496.2756
14.37.3.8 977201.2129 997487.5878
14.39.6.24 977207.6313 997499.0264
14.4.5.15 977208.9103 997501.9178
14.6.5.15 977206.4987 997499.7152
14.7.5.15 977205.2449 997499.0365
14.9.3.8 977203.19 997495.5082
15.1.6.24 977214.7909 997485.0962
15.28.5.15 977213.7947 997479.6614
15.38.5.19 977219.5578 997480.1242
15.39.5.19 977221.1281 997478.9972
15.41.5.19 977223.4707 997478.5181
15.42.5.19 977222.3658 997477.4058
15.43.5.19 977221.2833 997477.933
15.44.5.19 977216.3466 997477.501
15.45.3.13 977215.1109 997476.9369
15.46.6.24 977210.2989 997477.4487
15.47.5.19 977207.5047 997475.9813
15.55.6.21 977225.1206 997475.5327
15.56.5.15 977224.3204 997474.9652
15.58.6.24 977227.8352 997468.4328
15.62.3.13 977216.3769 997467.679
15.64.5.19 977210.7451 997465.7147
15.65.5.19 977208.7254 997466.0562
15.66.5.19 977210.0201 997468.5531
15.68.5.19 977211.6451 997470.3534
16.11.6.24 977213.2765 997452.7265
16.12.3.8 977222.2097 997453.35
16.14.6.20 977227.8451 997450.8847
16.20.5.15 977227.0743 997460.2115
16.22.5.15 977226.8946 997448.0691
16.24.5.19 977225.0227 997448.0408
16.26.3.8 977223.5296 997448.5877
16.27.5.19 977218.2538 997447.2002
16.29.6.21 977213.5923 997463.571
16.31.5.14 977228.2932 997464.0894
16.32.5.19 977224.3609 997463.0905
16.4.3.9 977226.9137 997457.9167
16.6.6.21 977217.3799 997456.1567
16.7.6.21 977229.1293 997456.5975
16.8.3.8 977221.6892 997455.4272
16.9.6.21 977221.1681 997454.9299
17.10.5.19 977216.8263 997437.6528
17.11.5.16 977216.1254 997436.6331
17.13.5.15 977215.7729 997438.3254
17.14.6.24 977217.4128 997434.7529
17.19.3.12 977232.5051 997448.8911
17.21.6.21 977228.9977 997447.6988
17.22.5.19 977219.6607 997429.2428
17.23.6.24 977218.1411 997443.4169
17.24.5.15 977214.5516 997443.429
17.25.5.15 977225.8399 997433.7213
17.3.3.12 977230.9895 997445.9039
17.4.3.8 977228.9965 997444.4994
17.5.3.9 977230.5485 997440.8216
17.6.6.24 977225.7735 997444.2174
17.7.5.15 977224.0704 997434.7191
17.8.6.24 977216.8437 997442.7965
17.9.6.24 977215.5191 997442.1885
18.1.6.20 977204.1614 997473.7928
18.11.5.15 977204.9487 997472.3384
18.15.6.24 977200.4963 997471.2888
18.18.6.24 977196.7197 997470.3491
18.19.6.24 977203.8423 997468.1543
18.20.3.8 977199.8333 997467.5497
18.25.3.8 977208.0758 997464.7421
18.26.6.22 977204.4296 997465.794
18.27.3.8 977198.7651 997463.8006
18.29.3.9 977207.5924 997465.3345
18.30.6.21 977198.6624 997461.2021
