ID_original Tipo_de_rasgo ID_resumido Grupo X Y Forma Total_ceramica Total_liticos Total_macrorestos Total_oro Total_fauna Total_volantes
107.4.5.16 Indefinido 107.4 1 976994.1755 997340.8928 Oval 0 0 0 0 0 0
108.37.5.15 Indefinido 108.37 1 977010.8501 997313.4585 Circular 0 4 0 0 0 0
108.38.3.8 Deposito 108.38 1 977012.3038 997314.0389 Circular 0 12 0 0 0 0
108.70.5.15 Indefinido 108.7 1 977001.6982 997311.9872 Circular 0 3 0 0 0 0
108.71.5.15 Indefinido 108.71 1 977000.4262 997310.9877 Circular 0 2 0 0 0 0
108.72.3.8 Deposito 108.72 1 977015.0275 997315.0203 Circular 0 1 0 0 0 0
108.73.5.15 Indefinido 108.73 1 977002.4667 997309.6255 Circular 0 1 0 0 0 0
108.74.6.22 Negativo 108.74 1 977001.2836 997316.5187 Oval 0 0 0 0 0 0
108.75.6.22 Negativo 108.75 1 977002.982 997318.8606 Oval 0 0 0 0 0 0
108.76.6.22 Negativo 108.76 1 976998.4125 997317.8445 Oval 0 0 0 0 0 0
108.78.3.9 Deposito 108.78 1 976998.8352 997321.5067 Oval 0 2 0 0 0 0
108.79.3.11 Deposito 108.79 1 976997.69 997321.7509 Cuadrangular 0 1 0 0 0 0
108.80.6.20 Negativo 108.8 1 977004.3485 997327.4813 Rectangular 0 0 0 0 0 0
108.81.3.13 Deposito 108.81 1 977000.1545 997327.7669 NA 0 0 0 0 0 0
108.83.3.13 Deposito 108.83 1 977012.61 997329.5998 NA 0 0 0 0 0 0
108.86.3.13 Deposito 108.86 1 977011.2741 997325.187 NA 0 0 0 0 0 0
108.87.6.20 Negativo 108.87 1 977009.1775 997324.496 Rectangular 0 0 0 0 0 0
109.1.5.14 Indefinido 109.1 1 977019.5486 997312.8601 Rectangular 0 0 0 0 0 0
109.19.3.9.2 Deposito 109.19 1 977005.2639 997307.6951 Oval 1 2 0 0 0 0
109.20.3.9 Deposito 109.2 1 977004.42 997307.6031 Oval 0 0 0 0 0 0
109.21.3.10.1 Deposito 109.21 1 977002.9589 997307.7291 Oval 13 2 0 0 0 0
109.33.3.9 Deposito 109.33 1 977017.2438 997306.6768 Oval 4 1 0 0 0 0
109.43.3.11 Deposito 109.43 1 977008.9932 997295.7318 Cuadrangular 0 0 0 0 0 0
109.51.3.8 Deposito 109.51 1 977019.2258 997297.6965 Circular 4 5 0 0 0 0
109.55.6.22 Negativo 109.55 1 977021.8637 997293.6495 Oval 0 0 0 0 0 0
