Corte Cuadricula Nivel Tipos_Ceramicos Diametro Forma
4 C8 1 Mosquera_Rojo_Inciso 18 Olla
4 C7 1 Desgrasante_Gris 20 Olla
4 C1 1 Desgrasante_Gris 22 Cuenco
4 C1 1 Funza_Cuarzo_Abundante 46 Olla
4 A15 1 Funza_Cuarzo_Abundante 48 Olla
4 A13 1 Funza_Cuarzo_Abundante 18 Cuenco
4 A11 1 Desgrasante_Gris 22 Olla
4 A11 1 Funza_Cuarzo_Abundante 8 Cuenco
4 A11 1 Funza_Cuarzo_Abundante 16 Olla
4 A11 1 Funza_Cuarzo_Abundante 12 Cuenco
4 A10 1 Funza_Cuarzo_Abundante 42 Olla
4 A10 1 Funza_Cuarzo_Abundante 8 Cuenco
4 A9 1 Funza_Cuarzo_Abundante 12 Olla
4 A9 1 Funza_Cuarzo_Abundante 48 Olla
4 A8 1 Funza_Cuarzo_Abundante 26 Cuenco
4 B4 1 Funza_Cuarzo_Abundante 16 Cuenco
4 B3 1 Desgrasante_Gris 14 Olla
4 B3 1 Desgrasante_Gris 4 Cuenco
4 D15 2 Funza_Cuarzo_Abundante 52 Olla
4 F3 2 Funza_Cuarzo_Fino 12 Cuenco
4 D3 2 Desgrasante_Gris 48 Olla
4 F9 2 Desgrasante_Gris 8 Olla
4 F7 2 Desgrasante_Gris 16 Olla
4 F3 2 Funza_Cuarzo_Abundante NA Olla
4 F3 2 Funza_Cuarzo_Abundante 12 Cuenco
4 F3 2 Funza_Cuarzo_Abundante 16 Cuenco
4 F3 2 Funza_Cuarzo_Abundante 14 Olla
4 F3 2 Funza_Cuarzo_Abundante 32 Cuenco
4 F 2 Funza_Cuarzo_Abundante NA Cuenco
4 E6 2 Funza_Cuarzo_Abundante 18 Olla
4 E3 2 Mosquera_Roca_Triturada 12 Cuenco
4 E3 2 Mosquera_Roca_Triturada 18 Cuenco
4 E1 2 Mosquera_Roca_Triturada 22 Olla
4 B4 2 Desgrasante_Gris 14 Cuenco
4 B4 2 Mosquera_Rojo_Inciso 18 Cuenco
4 D15 2 Funza_Cuarzo_Abundante 42 Olla
4 D15 2 Funza_Cuarzo_Abundante 16 Olla
4 D6 2 Funza_Cuarzo_Abundante 16 Olla
4 E3 2 Funza_Cuarzo_Fino 20 Indeterminado
4 C14 2 Desgrasante_Gris 22 Olla
4 C14 2 Desgrasante_Gris 26 Olla
4 C14 2 Mosquera_Roca_Triturada 28 Olla
4 C14 2 Funza_Cuarzo_Abundante 44 Olla
4 C2 2 Funza_Cuarzo_Abundante 46 Olla
4 C1 2 Funza_Cuarzo_Abundante 30 Olla
4 C 2 Funza_Cuarzo_Abundante 18 Olla
4 A7 2 Funza_Cuarzo_Abundante 20 Olla
4 B2 2 Desgrasante_Gris 14 Olla
4 E5 3 Desgrasante_Gris 22 Cuenco
4 A 3 Funza_Cuarzo_Abundante 10 Olla
4 E4 3 Funza_Cuarzo_Abundante 12 Cuenco
4 B15 3 Mosquera_Rojo_Inciso 32 Cuenco
4 A13 3 Funza_Cuarzo_Abundante 12 Cuenco
4 C2 15 Funza_Cuarzo_Abundante 20 Olla
4 B2 15 Mosquera_Roca_Triturada 18 Olla
4 J12 1 Guatavita_Desgrasante_Tiesto 46 Olla
4 H7 1 Desgrasante_Gris 10 Indeterminado
4 F9 1 Desgrasante_Gris 16 Cuenco
4 I13 1 Desgrasante_Gris 46 Cuenco
4 I11 1 Desgrasante_Gris 20 Cuenco
4 G1 1 Funza_Cuarzo_Abundante NA Cuenco
4 E13 1 Funza_Cuarzo_Abundante 46 Cuenco
4 E14 1 Desgrasante_Gris 44 Olla
4 G10 1 Funza_Cuarzo_Abundante 12 Cuenco
4 G10 1 Funza_Cuarzo_Abundante 16 Cuenco
4 H8 1 Funza_Cuarzo_Abundante NA Olla
4 G10 1 Funza_Cuarzo_Abundante 12 Cuenco
4 F13 1 Desgrasante_Gris 10 Olla
4 G12 1 Desgrasante_Gris NA Cuenco
4 H7 1 Mosquera_Roca_Triturada 28 Olla
4 H5 1 Funza_Cuarzo_Abundante 12 Olla
4 H5 1 Funza_Cuarzo_Abundante 12 Olla
4 G13 1 Funza_Cuarzo_Abundante 12 Cuenco
4 G15 1 Funza_Cuarzo_Abundante 14 Cuenco
4 G2 1 Desgrasante_Gris 18 Cuenco
4 G2 1 Desgrasante_Gris 12 Cuenco
4 F14 1 Desgrasante_Gris 16 Olla
4 G2 1 Zipaquira_Rojo_Sobre_Crema 38 Cuenco
4 G14 1 Funza_Cuarzo_Abundante 24 Olla
4 G13 1 Funza_Cuarzo_Abundante 12 Olla
